 EventID       Status       Request Time       End Time       Turnaround Time       Pad
----------------------------------------------------------------------------------------
    2            L                2                4                 2               B
    1            D                0                4                 4               A
    3            L                4                6                 2               B
    4            L                6                8                 2               B
    5            D                6               10                 4               A
    6            L                8               10                 2               B
    7            L               12               14                 2               B
    8            D               12               16                 4               A
    9            L               14               16                 2               B
   10            L               16               18                 2               B
   13            L               24               26                 2               A
   14            L               26               28                 2               A
   11            A               16               30                14               B
   15            L               28               30                 2               A
   12            L               22               32                10               B
   16            L               30               34                 4               B
   18            L               32               36                 4               B
   17            D               32               36                 4               A
   20            L               34               38                 4               B
   19            D               34               40                 6               A
   21            L               36               40                 4               B
   23            L               38               42                 4               B
   22            D               38               44                 6               A
   24            L               40               44                 4               B
   25            D               42               48                 6               A
   28            L               46               50                 4               A
   29            L               48               52                 4               A
   30            L               50               54                 4               A
   26            A               42               56                14               B
   31            L               52               56                 4               A
   27            L               42               58                16               B
   32            L               54               58                 4               A
   33            L               56               60                 4               B
   35            L               58               62                 4               B
   34            D               58               62                 4               A
   37            L               60               64                 4               A
   39            L               62               66                 4               A
   41            L               64               68                 4               A
   42            L               66               70                 4               A
   44            L               70               72                 2               A
   36            A               60               74                14               B
   45            L               72               74                 2               A
   46            L               74               76                 2               A
   48            D               78               82                 4               A
   52            E               80               84                 4               A
   38            A               62               86                24               B
   51            E               80               86                 6               A
   50            L               78               88                10               A
   53            L               82               90                 8               A
   54            D               84               94                10               A
   56            L               84               96                12               A
   40            A               64               98                34               B
   57            D               88              100                12               A
   59            L               88              102                14               A
   60            D               90              106                16               A
   61            L               90              108                18               A
   43            A               70              110                40               B
   63            L               94              110                16               A
   64            L               96              112                16               A
   66            L              102              114                12               A
   67            L              104              116                12               A
   68            L              106              118                12               A
   47            A               76              122                46               B
   69            D              108              122                14               A
